Reference, Value, Footprint, Datasheet, MPN
"P103","CONN_01X02","current:Terminal_Block_200_mil","http://www.on-shore.com/wp-content/uploads/2015/09/osttcxx2162.pdf",",OSTTC022162",""
"P102","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03","","",""
"P101","CONN_01X02","current:Terminal_Block_200_mil","http://www.on-shore.com/wp-content/uploads/2015/09/osttcxx2162.pdf",",OSTTC022162",""
"U201","LMV358","SMD_Packages:SOIC-8-N","http://www.st.com/content/ccc/resource/technical/document/datasheet/b9/d8/3b/8f/a1/8f/46/01/CD00079372.pdf/files/CD00079372.pdf/jcr:content/translations/en.CD00079372.pdf",",LMV358IDT",""
"Q201","BUK9575","TO_SOT_Packages_THT:TO-220_Neutral123_Vertical","http://www.nxp.com/documents/data_sheet/BUK9575-100A.pdf",",BUK9575-100A,127",""
"R201","68k","Resistors_SMD:R_0805","","",""
"R203",".1","Resistors_ThroughHole:Resistor_Horizontal_RM15mm","http://www.mouser.com/ds/2/427/acseries-222859.pdf",",AC01000001007JA100",""
"RV201","10k","current:P090L-02F25BR10K","http://www.bitechnologies.com/pdfs/p090.pdf",",P090L-02F25BR10K",""
"R202","1k","Resistors_SMD:R_0805","","",""
"P201","HeatSink","current:FA-T220-38E-ND","http://www.ohmite.com/cat/sink_f_r.pdf",",FA-T220-38E-ND",""
"R301","28.7k","Resistors_SMD:R_0805","","",""
"RV301","10k","current:P090L-02F25BR10K","http://www.bitechnologies.com/pdfs/p090.pdf","",""
"C301",".1","Capacitors_SMD:C_0805","","",""
"D301","D","Diodes_SMD:SMB-SMC_Universal_Handsoldering","http://www.bourns.com/docs/Product-Datasheets/CD214B-R350_R31000.pdf",",CD214B-R3600",""
"R303","1k","Resistors_SMD:R_0805","","",""
"R302","9k","Resistors_SMD:R_0805","","",""
"C401",".1","Capacitors_SMD:C_0805","","",""
"C402",".1","Capacitors_SMD:C_0805","","",""
"R401","0","Resistors_SMD:R_0805","","",""
"U401","LM2931","SMD_Packages:SOIC-8-N","http://www.st.com/content/ccc/resource/technical/document/datasheet/ae/39/36/68/10/73/4f/bb/CD00001885.pdf/files/CD00001885.pdf/jcr:content/translations/en.CD00001885.pdf",",LM2931D-R",""
"R402","27k","Resistors_SMD:R_0805","","",""
"R403","21.6k","Resistors_SMD:R_0805","","",""
